,Unnamed: 0,LowerBound,UpperBound
0,AFG,0,0
1,AHO,3,4
2,AIN,0,0
3,ALB,0,0
4,ALG,5,6
5,AND,0,0
6,ANG,0,0
7,ANT,0,0
8,ANZ,0,0
9,ARG,5,6
10,ARM,4,5
11,ARU,0,0
12,ASA,0,0
13,AUS,43,44
14,AUT,7,8
15,AZE,5,6
16,BAH,0,0
17,BAN,0,0
18,BAR,0,0
19,BDI,0,0
20,BEL,8,9
21,BEN,0,0
22,BER,0,0
23,BHU,0,0
24,BIH,0,0
25,BIZ,0,0
26,BLR,5,6
27,BOH,0,0
28,BOL,0,0
29,BOT,2,3
30,BRA,24,25
31,BRN,1,2
32,BRU,0,0
33,BUL,5,7
34,BUR,0,0
35,CAF,0,0
36,CAM,0,0
37,CAN,20,22
38,CAY,0,0
39,CGO,0,0
40,CHA,0,0
41,CHI,0,0
42,CHN,83,85
43,CIV,0,0
44,CMR,0,0
45,COD,0,0
46,COK,0,0
47,COL,5,7
48,COM,0,0
49,CPV,0,0
50,CRC,0,0
51,CRO,8,9
52,CRT,0,0
53,CUB,3,4
54,CYP,0,1
55,CZE,7,8
56,DEN,7,8
57,DJI,0,1
58,DMA,0,0
59,DOM,2,3
60,ECU,1,2
61,EGY,5,6
62,EOR,0,0
63,ERI,1,2
64,ESA,0,0
65,ESP,18,20
66,EST,0,1
67,ETH,0,0
68,EUN,55,56
69,FIJ,0,0
70,FIN,0,0
71,FRA,45,49
72,FRG,45,47
73,FSM,0,0
74,GAB,0,0
75,GAM,0,0
76,GBR,46,49
77,GBS,0,0
78,GDR,62,64
79,GEO,6,7
80,GEQ,0,0
81,GER,41,43
82,GHA,0,0
83,GRE,3,4
84,GRN,0,1
85,GUA,0,1
86,GUI,0,0
87,GUM,0,0
88,GUY,0,0
89,HAI,0,0
90,HKG,0,0
91,HON,0,0
92,HUN,12,13
93,INA,3,4
94,IND,3,5
95,IOA,0,0
96,IRI,9,10
97,IRL,7,8
98,IRQ,1,2
99,ISL,0,0
100,ISR,9,10
101,ISV,0,1
102,ITA,33,34
103,IVB,0,0
104,JAM,0,0
105,JOR,1,2
106,JPN,51,52
107,KAZ,11,12
108,KEN,2,3
109,KGZ,2,3
110,KIR,0,0
111,KOR,19,21
112,KOS,0,0
113,KSA,2,3
114,KUW,0,0
115,LAO,0,0
116,LAT,1,2
117,LBA,0,0
118,LBN,0,0
119,LBR,0,0
120,LCA,0,1
121,LES,0,0
122,LIB,0,0
123,LIE,0,0
124,LTU,7,9
125,LUX,0,0
126,MAD,0,0
127,MAL,0,0
128,MAR,3,4
129,MAS,0,1
130,MAW,0,0
131,MDA,0,0
132,MDV,0,0
133,MEX,2,3
134,MGL,0,1
135,MHL,0,0
136,MKD,0,0
137,MLI,0,0
138,MLT,0,0
139,MNE,4,5
140,MON,0,0
141,MOZ,0,0
142,MRI,0,0
143,MTN,0,0
144,MYA,0,0
145,NAM,0,0
146,NBO,0,0
147,NCA,0,0
148,NED,25,26
149,NEP,0,0
150,NFL,0,0
151,NGR,0,0
152,NIG,0,0
153,NOR,4,5
154,NRU,0,0
155,NZL,11,13
156,OMA,0,0
157,PAK,0,0
158,PAN,0,0
159,PAR,0,0
160,PER,0,0
161,PHI,3,4
162,PLE,0,0
163,PLW,0,0
164,PNG,0,0
165,POL,10,12
166,POR,2,3
167,PRK,0,0
168,PUR,0,0
169,QAT,3,4
170,RHO,0,0
171,ROC,46,47
172,ROT,0,0
173,ROU,3,4
174,RSA,4,5
175,RUS,55,57
176,RWA,0,0
177,SAA,0,0
178,SAM,2,3
179,SCG,5,6
180,SEN,0,0
181,SEY,0,0
182,SGP,0,0
183,SKN,0,0
184,SLE,0,0
185,SLO,4,5
186,SMR,0,0
187,SOL,0,0
188,SOM,0,0
189,SRB,10,12
190,SRI,0,0
191,SSD,0,0
192,STP,0,0
193,SUD,0,0
194,SUI,9,11
195,SUR,3,4
196,SVK,0,0
197,SWE,8,10
198,SWZ,0,0
199,SYR,0,1
200,TAN,0,0
201,TCH,12,13
202,TGA,0,0
203,THA,0,1
204,TJK,0,1
205,TKM,0,0
206,TLS,0,0
207,TOG,0,0
208,TPE,4,5
209,TTO,0,0
210,TUN,1,2
211,TUR,9,10
212,TUV,0,0
213,UAE,3,4
214,UAR,0,0
215,UGA,0,0
216,UKR,7,9
217,UNK,0,0
218,URS,94,96
219,URU,2,3
220,USA,86,94
221,UZB,7,8
222,VAN,0,0
223,VEN,0,0
224,VIE,0,0
225,VIN,0,0
226,VNM,0,0
227,WIF,0,0
228,YAR,0,0
229,YEM,0,0
230,YMD,0,0
231,YUG,10,11
232,ZAM,0,0
233,ZIM,0,0
